region,subregion,total_ha,wheat_ha,winter_barley_ha,spring_barley_ha,oats_ha,other_cereals_ha,potatoes_ha,sugar_beet_ha,oilseed_rape_ha,other_arable_ha,field_beans_ha,peas_ha,maize_ha,other_crops_ha,fruit_n_veg_ha,flowers_ha,fallow_ha,perm_grassland_ha,temp_grassland_ha,woodland_ha,non_ag_land_ha,wheat_euro,winter_barley_euro,spring_barley_euro,oats_euro,other_cereals_euro,potatoes_euro,sugar_beet_euro,oilseed_rape_euro,other_arable_euro,field_beans_euro,peas_euro,maize_euro,other_crops_euro,fruit_n_veg_euro,flowers_euro,fallow_euro,perm_grassland_euro,temp_grassland_euro,woodland_euro,non_ag_land_euro,wheat_income,winter_barley_income,spring_barley_income,oats_income,other_cereals_income,potatoes_income,sugar_beet_income,oilseed_rape_income,other_arable_income,field_beans_income,peas_income,maize_income,other_crops_income,fruit_n_veg_income,flowers_income,fallow_income,perm_grassland_income,temp_grassland_income,woodland_income,non_ag_land_income,total_income,income_per_ha
East_Midlands,Derby,15.733333333333333,2.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.566666666666666,1.1,0.26666666666666666,0.4666666666666667,1564.724286,1201.897486,1201.897486,1075.113528,965.6621062,8151.231953,2668.008173,1435.676398,779.6197144,1140.473682,1140.473682,1522.127816,280.6691635,4281.223206,41479.39473,0,1.245094328,254.4754916,0,0,4068.2831435999997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.421213748533333,279.92304076,0,0,4357.627398108533,276.96784310011867
East_Midlands,East Derbyshire,58.31827111984283,9.579567779960707,3.4675834970530452,4.726915520628683,0.6424361493123772,0.10412573673870335,0.2357563850687623,0,1.7131630648330058,0,1.899803536345776,0,0,0,0.2043222003929273,0.011787819253438114,0.9783889980353635,25.772102161100197,3.522593320235756,3.2593320235756384,1.0196463654223968,1564.724286,1201.897486,1201.897486,1075.113528,965.6621062,8151.231953,2668.008173,1435.676398,779.6197144,1140.473682,1140.473682,1522.127816,280.6691635,4281.223206,41479.39473,0,1.245094328,254.4754916,0,0,14989.382354687621,4167.6798876031435,5681.267880777996,690.6917950019647,100.55027824872299,1921.7049790962674,0,2459.5477781060904,0,2166.675934172888,0,0,0,874.7489458231827,488.9516078192534,0,32.0886982214224,896.4136668738703,0,0,34469.70380643242,591.0618258143816
East_Midlands,South and West Derbyshire,76.73339703774487,4.108934543717153,1.1806020066889633,1.3435260391782131,0.37362637362637363,0.17152412804586717,0.06497849976110846,0.10033444816053512,0.44672718585762067,0.42474916387959866,0.44481605351170567,0,0.9498327759197325,0.05924510272336359,0.03870043000477783,0,0.2594362159579551,58.23268036311514,3.2216913521261348,4.0224558050645,1.2446249402771141,1564.724286,1201.897486,1201.897486,1075.113528,965.6621062,8151.231953,2668.008173,1435.676398,779.6197144,1140.473682,1140.473682,1522.127816,280.6691635,4281.223206,41479.39473,0,1.245094328,254.4754916,0,0,6429.3496701385575,1418.9625838060203,1614.780568863832,401.6907687032967,165.63435075289058,529.6548235107502,267.6931277257525,641.3556770807454,331.1428218354515,507.30100236120404,0,1445.7668887759198,16.62827342283803,165.68517901863353,0,0,72.50518002435165,819.8414906157668,0,0,14827.99240663601,193.24040090838383
East_Midlands,Nottingham,27.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1564.724286,1201.897486,1201.897486,1075.113528,965.6621062,8151.231953,2668.008173,1435.676398,779.6197144,1140.473682,1140.473682,1522.127816,280.6691635,4281.223206,41479.39473,0,1.245094328,254.4754916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
East_Midlands,North Nottinghamshire,122.76190476190476,35.24523809523809,6.320238095238095,9.708333333333334,1.792857142857143,1.875,2.947619047619048,4.8654761904761905,3,1.7333333333333334,4.65952380952381,1.1130952380952381,7.213095238095238,0,2.711904761904762,0,3.7583333333333333,17.49404761904762,8.230952380952381,7.341666666666667,2.4464285714285716,1564.724286,1201.897486,1201.897486,1075.113528,965.6621062,8151.231953,2668.008173,1435.676398,779.6197144,1140.473682,1140.473682,1522.127816,280.6691635,4281.223206,41479.39473,0,1.245094328,254.4754916,0,0,55149.08001347142,7596.278277588096,11668.421426583334,1927.524968057143,1810.6164491250001,24026.726566223813,12981.130241727382,4307.029194000001,1351.3408382933335,5314.064275414286,1269.4558246071429,10979.252901361904,0,11610.269599128571,0,0,21.781739464238097,2094.5756534790476,0,0,152107.5479685247,1239.0451929166095
East_Midlands,South Nottinghamshire,89.34562211981567,28.29953917050691,3.889400921658986,6.329493087557604,2.0714285714285716,0.7626728110599078,0.8525345622119815,2.1451612903225805,0.8917050691244239,1.6221198156682028,4.790322580645161,0.4147465437788018,5.317972350230415,0,0.9792626728110599,0,1.652073732718894,17.852534562211982,6.06221198156682,3.3364055299539173,1.9262672811059909,1564.724286,1201.897486,1201.897486,1075.113528,965.6621062,8151.231953,2668.008173,1435.676398,779.6197144,1140.473682,1140.473682,1522.127816,280.6691635,4281.223206,41479.39473,0,1.245094328,254.4754916,0,0,44280.976222700454,4674.661189788018,7607.401829589862,2227.020879428572,736.4842330695852,6949.20696453917,5723.307854983871,1280.199921718894,1264.636587413825,5463.236831516129,473.0075178801843,8094.633639004608,0,4192.442079608295,0,0,22.2280895238341,1542.6843741926268,0,0,94532.12821495793,1058.0499186427621
East_Midlands,Leicester,26.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1564.724286,1201.897486,1201.897486,1075.113528,965.6621062,8151.231953,2668.008173,1435.676398,779.6197144,1140.473682,1140.473682,1522.127816,280.6691635,4281.223206,41479.39473,0,1.245094328,254.4754916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
East_Midlands,Leicestershire CC and Rutland,93.24897959183673,24.443367346938775,4.245918367346939,4.5653061224489795,4.091326530612245,0.9505102040816327,0.21887755102040815,0.611734693877551,1.1285714285714286,1.7066326530612246,4.5285714285714285,0.5040816326530613,2.3607142857142858,0.24540816326530612,0.21071428571428572,0.02142857142857143,2.081122448979592,28.622448979591837,6.885714285714286,4.341836734693878,1.485204081632653,1564.724286,1201.897486,1201.897486,1075.113528,965.6621062,8151.231953,2668.008173,1435.676398,779.6197144,1140.473682,1140.473682,1522.127816,280.6691635,4281.223206,41479.39473,0,1.245094328,254.4754916,0,0,38247.130519374485,5103.158611475511,5487.029951391837,4398.6405005265315,917.8716856380613,1784.1216876719388,1632.1131629729591,1620.263363457143,1330.5244615653062,5164.716531342858,574.8918356204083,3593.3088799142856,68.8785038997449,902.1148898357142,888.8441727857142,0,35.63764887795919,1752.2455278742857,0,0,73501.49193422474,788.2283780042486
East_Midlands,West Northamptonshire,97.89613970588235,26.53125,4.685661764705882,5.477941176470588,3.4816176470588234,0.47702205882352944,0.1323529411764706,0,3.342830882352941,1.9108455882352942,5.911764705882353,0.29044117647058826,1.8841911764705883,0.06525735294117647,0.31525735294117646,0,1.9420955882352942,30,5.5661764705882355,3.707720588235294,2.1479779411764706,1564.724286,1201.897486,1201.897486,1075.113528,965.6621062,8151.231953,2668.008173,1435.676398,779.6197144,1140.473682,1140.473682,1522.127816,280.6691635,4281.223206,41479.39473,0,1.245094328,254.4754916,0,0,41514.0912129375,5631.685095246324,6583.923728455882,3743.134231676471,460.64212602738974,1078.8395231911766,0,4799.223400299633,1489.7328917625,6742.212061235295,331.2405179338236,2867.979800367647,18.315726662224268,1349.6870952738968,0,0,37.35282984,1416.4554936852942,0,0,78064.51573459506,797.4217979292226
East_Midlands,North Northamptonshire,139.44894026974953,49.09633911368015,8.323699421965317,9.154142581888246,3.2832369942196533,0.5163776493256262,0.23892100192678228,0.4605009633911368,7.069364161849711,3.0616570327552988,8.739884393063583,0,1.3988439306358382,0.29672447013487474,0.7225433526011561,0,4.252408477842004,27.423892100192678,4.6801541425818884,6.753371868978806,3.3448940269749516,1564.724286,1201.897486,1201.897486,1075.113528,965.6621062,8151.231953,2668.008173,1435.676398,779.6197144,1140.473682,1140.473682,1522.127816,280.6691635,4281.223206,41479.39473,0,1.245094328,254.4754916,0,0,76822.23416486704,10004.233409479768,11002.340955657033,3529.852508115607,498.6463284423893,1947.5005051483624,1228.6203340019267,10149.319276034683,2386.9281814674378,9967.608134011562,0,2129.219257063584,83.28140882273603,3093.36936849711,0,0,34.14533250563391,1190.9845261973026,0,0,134068.28369031218,961.4148621780199
