region,subregion,total_income,income_per_ha
South_West,Devon CC,16037.048086776716,244.4770611834996
West_Midlands,"Herefordshire, County of",69283.62849466754,940.7713707348447
West_Midlands,Worcestershire,48600.23301854045,771.4866054395403
West_Midlands,Warwickshire,80822.26100758788,895.0665421928231
West_Midlands,Telford and Wrekin,112752.84307065154,1304.1386498561951
West_Midlands,Shropshire CC,55141.832206454645,684.7707234279496
West_Midlands,Stoke-on-Trent,14.246195566883722,0.9817089893846156
West_Midlands,Staffordshire CC,34607.856532795915,544.0084148219752
West_Midlands,Birmingham,27408.00893012373,451.5322723249379
West_Midlands,Solihull,28075.12019331217,595.6352613988889
West_Midlands,Coventry,12858.839973856433,369.3921421061242
West_Midlands,Dudley,7589.640412999304,249.7306573662146
West_Midlands,Sandwell,0,NA
West_Midlands,Walsall,21760.61793577479,501.466754106542
West_Midlands,Wolverhampton,0,NA
Yorkshire_and_The_Humber,"Kingston upon Hull, City of",0,0
Yorkshire_and_The_Humber,East Riding of Yorkshire,173155.9707630891,1293.2811094338606
Yorkshire_and_The_Humber,North and North East Lincolnshire,218159.54434499133,1419.961459694398
Yorkshire_and_The_Humber,York,60363.118111843236,1049.31312362765
Yorkshire_and_The_Humber,North Yorkshire CC,60872.00087097679,532.2735584867667
Yorkshire_and_The_Humber,"Barnsley, Doncaster and Rotherham",96330.60624347556,1017.551594627206
Yorkshire_and_The_Humber,Sheffield,3876.857745841304,38.42608410012928
Yorkshire_and_The_Humber,Bradford,48.51869869889908,1.2149180239329198
Yorkshire_and_The_Humber,Leeds,50661.843233550666,728.086538064239
Yorkshire_and_The_Humber,Calderdale and Kirklees,4202.449041076734,73.97785815876958
Yorkshire_and_The_Humber,Wakefield,74280.5899103794,1070.057351834352
