region,subregion,total_income,income_per_ha
East_Midlands,Derby,4357.627398108533,276.96784310011867
East_Midlands,East Derbyshire,34469.70380643242,591.0618258143816
East_Midlands,South and West Derbyshire,14827.99240663601,193.24040090838383
East_Midlands,Nottingham,0,0
East_Midlands,North Nottinghamshire,152107.5479685247,1239.0451929166095
East_Midlands,South Nottinghamshire,94532.12821495793,1058.0499186427621
East_Midlands,Leicester,0,0
East_Midlands,Leicestershire CC and Rutland,73501.49193422474,788.2283780042486
East_Midlands,West Northamptonshire,78064.51573459506,797.4217979292226
East_Midlands,North Northamptonshire,134068.28369031218,961.4148621780199
East_Midlands,Lincolnshire,303336.2365535287,1729.7383149078557
East_of_England,Peterborough,208013.57088031174,1460.467438554911
East_of_England,Cambridgeshire CC,224266.601617091,1497.316600669659
East_of_England,Suffolk,185130.63958988147,1330.918981718585
East_of_England,Norwich and East Norfolk,146136.074772271,1307.9492054948737
East_of_England,North and West Norfolk,286927.69774324045,1577.8938818823262
East_of_England,Breckland and South Norfolk,166059.9041886253,1229.8884561584925
East_of_England,Luton,0,0
East_of_England,Hertfordshire,129515.12564512005,969.4447496048075
East_of_England,Bedford,137968.5215901122,1057.6976445062414
East_of_England,Central Bedfordshire,106605.56776604599,1004.580674441329
East_of_England,Southend-on-Sea,0,0
East_of_England,Thurrock,96106.00765955754,705.4647654287115
East_of_England,Essex Haven Gateway,180834.7856689636,1409.482188768445
East_of_England,West Essex,179563.83128784888,1242.438807877047
East_of_England,Heart of Essex,131347.40504077438,795.3914261461758
East_of_England,Essex Thames Gateway,105972.53526530723,782.8537000283625
London,Tower Hamlets,0,NA
London,Hackney and Newham,0,NA
London,Bexley and Greenwich,15.5636791,0.735291925984252
London,Barking & Dagenham and Havering,24736.91403328249,463.81713812404666
London,Redbridge and Waltham Forest,52.449598566999995,0.41421203211845997
London,Enfield,3201.448014021333,33.03299756513843
London,Bromley,24249.54904336451,439.88298066789184
London,Croydon,22.722971486,0.6311936523888888
London,"Merton, Kingston upon Thames and Sutton",33.75589067022222,0.5339244569982425
London,Barnet,47.6871127624,0.9712242925132383
London,Brent,0,NA
London,Ealing,0,NA
London,Harrow and Hillingdon,48.708090111359994,0.8611755677397452
London,Hounslow and Richmond upon Thames,34.862641184,0.6116252839298245
North_East,Hartlepool and Stockton-on-Tees,65837.72319722292,862.5029239810864
North_East,South Teesside,51072.301961933634,606.7106341448448
North_East,Darlington,61355.00792186237,834.6102045092211
North_East,Durham CC,31411.390187735185,276.5598855629518
North_East,Northumberland,75064.91588171218,339.2551473854442
North_East,Tyneside,43359.251735552636,627.613713959247
North_East,Sunderland,42936.013148048885,803.3765453896881
North_West,West Cumbria,10166.324781192709,97.07249108421054
North_West,East Cumbria,8242.82425896633,72.03346234042422
North_West,Manchester,15.5636791,1.029003576859504
North_West,Greater Manchester South West,38836.323640210074,702.6451228181853
North_West,Greater Manchester South East,98.06803371199999,2.5189587551396118
North_West,Greater Manchester North West,13629.453771652486,338.6748452333699
North_West,Greater Manchester North East,59.88590486402516,1.18948892859213
North_West,Blackburn with Darwen,66.1632298992,1.1991759556198582
North_West,Blackpool,6.5367452219999995,1.188499131272727
North_West,Lancaster and Wyre,7134.903456841473,86.28821733342954
North_West,Mid Lancashire,6406.286352886343,101.80240674180773
North_West,East Lancashire,76.7302826717568,1.5234902684366223
North_West,Chorley and West Lancashire,63325.45139443615,946.5764008990402
North_West,Warrington,48060.91597279037,1004.4354775009124
North_West,Cheshire East,19740.83874670237,340.7677096722079
North_West,Cheshire West and Chester,30817.201391092687,492.9252676025905
North_West,East Merseyside,74556.87989458778,1141.6163235014885
North_West,Liverpool,17.6803394576,0.4036607182100457
North_West,Sefton,70928.45674653782,938.8845056701757
North_West,Wirral,48552.545462247115,683.3040018142674
South_East,Berkshire,99917.41421138695,770.7031495195919
South_East,Milton Keynes,95055.50124294739,892.0069217475015
South_East,Buckinghamshire CC,52774.56127921495,600.3137201530874
South_East,Oxfordshire,108080.70896543974,857.3962156892273
South_East,Brighton and Hove,1094.912515378353,5.766267893876084
South_East,East Sussex CC,27299.96794723026,366.20397696164315
South_East,West Surrey,21074.277126446766,275.09647416557567
South_East,East Surrey,33243.96712770641,425.23485741204934
South_East,West Sussex (South West),101741.96881624368,766.8804456831123
South_East,West Sussex (North East),26175.02404404072,377.4506397309346
South_East,Portsmouth,0,NA
South_East,Southampton,0,NA
South_East,Isle of Wight,49125.68017258685,550.1709398703147
South_East,South Hampshire,22949.910520059304,485.17072278635845
South_East,Central Hampshire,81502.71230122924,750.9836701187348
South_East,North Hampshire,146639.68570859713,1064.1858803719124
South_East,Medway,129183.36508780303,739.2831943850592
South_East,Kent Thames Gateway,146727.13866058734,1190.493135737792
South_East,East Kent,162726.62831907638,1114.1419968594048
South_East,Mid Kent,79086.73859099064,917.6987080503247
South_East,West Kent,63566.95298181419,806.8133380601365
South_West,"Bristol, City of",20.687721142153848,0.5060025867318909
South_West,"Bath and North East Somerset, North Somerset and South Gloucestershire",20986.84152844132,375.4686486068452
South_West,Gloucestershire,52973.36976446515,627.9729889433885
South_West,Swindon,55933.693069468594,556.967739563706
South_West,Wiltshire,76768.23276516095,688.1050073857093
South_West,Bournemouth and Poole,84.75534961314285,0.8033682427786053
South_West,Dorset CC,58550.28002485211,561.9846738499657
South_West,Somerset,27631.177508833287,415.1779981901969
South_West,Cornwall and Isles of Scilly,62580.61309444858,925.8030381963608
South_West,Plymouth,27.500344287999997,0.7611406962984355
South_West,Torbay,7347.300826344666,150.20035760840886
