NUTS3 geographical region,Region,Total claimants (a),Wheat,Winter Barley,Spring Barley,Oats,Other cereals (excluding maize),Potatoes,Beet,Oilseed Rape,Other arable crops not for stockfeeding,Field beans (includes field beans not for stockfeeding),Peas (includes peas not for stockfeeding),Maize,Other crops mainly for stockfeeding,Fruit & Veg (excludes peas and field beans),Flowers,Fallow,Permanent Grassland,Temporary Grassland,Woodland,Non-agricultural land
"Herefordshire, County of",West_Midlands,"2,384",716,255,291,267,41,242,153,286,293,127,48,311,40,519,11,286,"2,330",917,"1,558","2,133"
Worcestershire,West_Midlands,"1,803",526,161,218,124,24,61,63,80,186,146,28,180,27,278,12,315,"1,721",600,"1,100","1,597"
Warwickshire,West_Midlands,"1,553",581,235,249,149,39,62,22,97,175,211,45,192,37,107,14,368,"1,483",535,909,"1,390"
Telford and Wrekin,West_Midlands,201,81,39,30,16,6,47,#,48,20,10,#,43,#,21,#,51,183,72,99,173
Shropshire CC,West_Midlands,"3,272",930,461,492,311,83,194,131,336,255,95,15,572,40,193,10,503,"3,188","1,190","2,059","2,982"
Stoke-on-Trent,West_Midlands,43,#,0,#,0,#,0,0,0,#,0,0,#,0,0,0,#,41,#,9,25
Staffordshire CC,West_Midlands,"2,805",485,258,257,108,30,111,56,124,128,77,6,303,25,124,8,303,"2,764",651,"1,506","2,540"
Birmingham,West_Midlands,30,9,7,#,#,0,#,0,0,#,5,0,#,0,#,0,7,23,#,11,21
Solihull,West_Midlands,141,40,22,8,5,#,#,#,7,7,8,#,13,#,#,0,17,126,40,67,120
Coventry,West_Midlands,37,10,5,#,0,0,#,0,#,0,#,0,#,0,0,0,#,27,9,15,29
Dudley,West_Midlands,23,5,5,#,#,#,#,0,0,0,0,0,#,0,0,0,#,17,#,13,19
Sandwell,West_Midlands,#,0,0,0,#,0,0,0,0,0,0,0,0,0,0,#,0,#,#,#,#
Walsall,West_Midlands,33,10,5,7,6,0,#,0,#,#,#,0,#,#,#,0,6,30,8,15,29
Wolverhampton,West_Midlands,#,#,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#,#,#,#,#
Peterborough,East_of_England,163,108,29,54,17,11,37,45,30,27,53,9,23,#,18,#,64,137,47,85,142
Cambridgeshire CC,East_of_England,"1,620","1,068",343,505,130,45,302,383,242,315,328,115,213,34,255,15,698,"1,333",520,792,"1,427"
Suffolk,East_of_England,"2,093","1,165",583,748,130,103,231,486,463,393,356,135,346,40,311,25,"1,018","1,880",713,"1,343","1,917"
Norwich and East Norfolk,East_of_England,480,200,180,193,10,25,128,182,80,96,22,53,117,17,50,6,185,418,170,276,422
North and West Norfolk,East_of_England,"1,090",611,353,505,32,61,388,486,191,233,125,136,220,27,254,26,536,924,403,603,965
Breckland and South Norfolk,East_of_England,"1,281",648,409,460,67,96,148,303,273,246,142,94,346,38,156,6,546,"1,156",501,845,"1,181"
Luton,East_of_England,6,#,0,0,#,0,0,0,0,0,#,0,0,0,0,0,#,#,0,#,#
Hertfordshire,East_of_England,720,328,123,143,112,15,7,24,77,135,99,35,64,31,55,14,258,665,252,460,646
Bedford,East_of_England,260,148,50,62,38,7,#,#,27,55,66,9,12,12,24,#,111,225,93,176,227
