Region,Subregion,Total,Wheat,Winter Barley,Spring Barley,Oats,Other cereals (excluding maize),Potatoes,Beet,Oilseed Rape,Other arable crops not for stockfeeding,Field beans (includes field beans not for stockfeeding),Peas (includes peas not for stockfeeding),Maize,Other crops mainly for stockfeeding,Fruit & Veg (excludes peas and field beans),Flowers,Fallow,Permanent Grassland,Temporary Grassland,Woodland,Non-agricultural land
East_Midlands,North Northamptonshire,519,254,95,126,54,10,8,15,62,120,115,NA,35,14,26,NA,194,482,182,313,475
East_Midlands,Lincolnshire,"2,849","1,919",604,"1,077",251,121,564,606,576,601,717,380,452,65,603,149,"1,185","2,494","1,058","1,436","2,532"
West_Midlands,"Herefordshire, County of","2,384",716,255,291,267,41,242,153,286,293,127,48,311,40,519,11,286,"2,330",917,"1,558","2,133"
West_Midlands,Worcestershire,"1,803",526,161,218,124,24,61,63,80,186,146,28,180,27,278,12,315,"1,721",600,"1,100","1,597"
West_Midlands,Warwickshire,"1,553",581,235,249,149,39,62,22,97,175,211,45,192,37,107,14,368,"1,483",535,909,"1,390"
West_Midlands,Telford and Wrekin,201,81,39,30,16,6,47,NA,48,20,10,NA,43,NA,21,NA,51,183,72,99,173
West_Midlands,Shropshire CC,"3,272",930,461,492,311,83,194,131,336,255,95,15,572,40,193,10,503,"3,188","1,190","2,059","2,982"
West_Midlands,Stoke-on-Trent,43,NA,0,NA,0,NA,0,0,0,NA,0,0,NA,0,0,0,NA,41,NA,9,25
West_Midlands,Staffordshire CC,"2,805",485,258,257,108,30,111,56,124,128,77,6,303,25,124,8,303,"2,764",651,"1,506","2,540"
West_Midlands,Birmingham,30,9,7,NA,NA,0,NA,0,0,NA,5,0,NA,0,NA,0,7,23,NA,11,21
West_Midlands,Solihull,141,40,22,8,5,NA,NA,NA,7,7,8,NA,13,NA,NA,0,17,126,40,67,120
West_Midlands,Coventry,37,10,5,NA,0,0,NA,0,NA,0,NA,0,NA,0,0,0,NA,27,9,15,29
West_Midlands,Dudley,23,5,5,NA,NA,NA,NA,0,0,0,0,0,NA,0,0,0,NA,17,NA,13,19
West_Midlands,Sandwell,NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,NA,NA
West_Midlands,Walsall,33,10,5,7,6,0,NA,0,NA,NA,NA,0,NA,NA,NA,0,6,30,8,15,29
West_Midlands,Wolverhampton,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
East_of_England,Peterborough,163,108,29,54,17,11,37,45,30,27,53,9,23,NA,18,NA,64,137,47,85,142
East_of_England,Cambridgeshire CC,"1,620","1,068",343,505,130,45,302,383,242,315,328,115,213,34,255,15,698,"1,333",520,792,"1,427"
East_of_England,Suffolk,"2,093","1,165",583,748,130,103,231,486,463,393,356,135,346,40,311,25,"1,018","1,880",713,"1,343","1,917"
East_of_England,Norwich and East Norfolk,480,200,180,193,10,25,128,182,80,96,22,53,117,17,50,6,185,418,170,276,422
East_of_England,North and West Norfolk,"1,090",611,353,505,32,61,388,486,191,233,125,136,220,27,254,26,536,924,403,603,965
East_of_England,Breckland and South Norfolk,"1,281",648,409,460,67,96,148,303,273,246,142,94,346,38,156,6,546,"1,156",501,845,"1,181"
East_of_England,Luton,6,NA,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,NA,NA,0,NA,NA
East_of_England,Hertfordshire,720,328,123,143,112,15,7,24,77,135,99,35,64,31,55,14,258,665,252,460,646
East_of_England,Bedford,260,148,50,62,38,7,NA,NA,27,55,66,9,12,12,24,NA,111,225,93,176,227
East_of_England,Central Bedfordshire,452,225,81,123,44,22,17,11,26,72,57,20,37,13,52,8,161,390,141,263,395
East_of_England,Southend-on-Sea,7,NA,NA,0,0,0,0,0,NA,0,NA,0,0,0,0,0,NA,NA,NA,NA,NA
East_of_England,Thurrock,52,19,NA,8,0,NA,NA,0,NA,NA,NA,NA,NA,NA,5,0,13,46,NA,21,49
East_of_England,Essex Haven Gateway,713,423,160,216,44,31,85,63,111,188,102,46,108,11,114,19,354,639,266,478,648
East_of_England,West Essex,514,357,112,142,65,NA,18,22,110,130,132,28,45,NA,37,9,234,446,161,332,462
East_of_England,Heart of Essex,450,230,59,102,28,5,15,NA,88,82,77,31,41,42,56,NA,150,397,153,257,390
East_of_England,Essex Thames Gateway,109,43,8,27,NA,NA,NA,0,11,NA,21,NA,NA,NA,5,NA,28,97,37,58,105
London,Tower Hamlets,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
London,Hackney and Newham,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA
London,Bexley and Greenwich,6,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,5,NA,NA,5
London,Barking & Dagenham and Havering,45,13,NA,NA,0,0,NA,0,NA,5,NA,NA,NA,0,NA,NA,11,37,12,25,39
London,Redbridge and Waltham Forest,8,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,NA,8,NA,NA,8
London,Enfield,12,NA,0,NA,NA,0,0,NA,NA,NA,NA,0,NA,0,NA,0,NA,12,8,7,11
London,Bromley,55,19,7,NA,NA,NA,0,NA,NA,5,7,0,NA,NA,NA,0,8,46,13,33,42
London,Croydon,12,NA,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,NA,6,NA,8,8
London,"Merton, Kingston upon Thames and Sutton",9,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,8,NA,7,8
London,Barnet,10,NA,0,0,0,0,0,0,0,NA,0,0,NA,0,0,0,NA,10,NA,7,9
London,Brent,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA
London,Ealing,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA
London,Harrow and Hillingdon,25,NA,0,0,0,NA,0,0,0,0,0,0,NA,0,0,0,0,21,NA,14,24
London,Hounslow and Richmond upon Thames,5,NA,NA,0,NA,0,0,0,0,NA,0,0,0,0,0,0,NA,5,NA,NA,5
South_East,Berkshire,526,146,52,84,42,18,NA,NA,34,79,42,10,91,11,55,12,150,508,173,364,466
South_East,Milton Keynes,165,78,13,21,17,NA,0,0,21,25,24,NA,15,NA,NA,NA,47,152,49,102,145
South_East,Buckinghamshire CC,"1,143",337,95,138,96,13,NA,NA,47,128,73,5,113,24,62,7,209,"1,100",347,677,"1,019"
