NUTS3 geographical region,Region,Total area on agricultural holdings,Wheat,Winter Barley,Spring Barley,Oats,Other cereals (excluding maize),Potatoes,Beet,Oilseed Rape,Other arable crops not for stockfeeding,Field beans (includes field beans not for stockfeeding),Peas (includes peas not for stockfeeding),Maize,Other crops mainly for stockfeeding,Fruit & Veg (excludes peas and field beans),Flowers,Fallow,Permanent Grassland,Temporary Grassland,Woodland,Non-agricultural land
North Nottinghamshire,East_Midlands,"103,120","29,606","5,309","8,155","1,506","1,575","2,476","4,087","2,520","1,456","3,914",935,"6,059",#,"2,278",#,"3,157","14,695","6,914","6,167","2,055"
South Nottinghamshire,East_Midlands,"38,776","12,282","1,688","2,747",899,331,370,931,387,704,"2,079",180,"2,308",#,425,#,717,"7,748","2,631","1,448",836
Leicester,East_Midlands,261,#,#,#,0,0,0,0,0,0,0,0,0,0,0,0,#,#,#,#,#
Leicestershire CC and Rutland,East_Midlands,"182,768","47,909","8,322","8,948","8,019","1,863",429,"1,199","2,212","3,345","8,876",988,"4,627",481,413,42,"4,079","56,100","13,496","8,510","2,911"
West Northamptonshire,East_Midlands,"106,511","28,866","5,098","5,960","3,788",519,144,#,"3,637","2,079","6,432",316,"2,050",71,343,#,"2,113","32,640","6,056","4,034","2,337"
North Northamptonshire,East_Midlands,"72,374","25,481","4,320","4,751","1,704",268,124,239,"3,669","1,589","4,536",#,726,154,375,#,"2,207","14,233","2,429","3,505","1,736"
Lincolnshire,East_Midlands,"499,616","183,932","21,087","43,267","8,755","4,337","11,740","18,162","25,705","7,811","26,619","12,906","13,883","1,381","22,519","3,155","11,598","46,039","17,207","11,916","7,598"
"Herefordshire, County of",West_Midlands,"175,571","30,955","3,355","3,332","3,593",790,"5,486","1,605","7,044","1,626","1,967",836,"5,937",364,"8,702",21,"1,249","67,297","17,241","11,174","2,996"
Worcestershire,West_Midlands,"113,581","22,064","3,030","3,835","2,281",842,885,562,"2,043","2,078","3,496",454,"3,593",208,"3,719",49,"2,281","42,994","10,718","6,483","1,968"
Warwickshire,West_Midlands,"140,232","38,323","6,246","6,107","4,237","1,143","1,095",340,"3,539","2,543","6,074","1,015","3,901",541,"1,508",191,"3,470","40,824","9,529","6,992","2,615"
Telford and Wrekin,West_Midlands,"17,378","5,217",760,648,292,98,"1,014",#,"1,463",109,255,#,845,#,434,#,323,"2,820","1,593",557,318
Shropshire CC,West_Midlands,"263,481","40,584","8,839","7,201","5,729","1,828","4,261","1,689","10,224","1,067","2,136",204,"10,887",583,"2,760",140,"2,168","122,096","22,942","14,174","3,969"
Stoke-on-Trent,West_Midlands,624,#,0,#,0,#,0,0,0,#,0,0,#,0,0,0,#,492,#,48,11
Staffordshire CC,West_Midlands,"178,444","23,148","5,812","4,476","2,504",533,"1,911",537,"4,040",778,"1,509",138,"6,264",185,"2,153",32,"1,499","97,641","13,430","8,375","3,478"
Birmingham,West_Midlands,"1,821",302,212,#,#,0,#,0,0,#,84,0,#,0,#,0,51,554,#,210,138
Solihull,West_Midlands,"6,646","1,405",373,142,51,#,#,#,154,107,148,#,322,#,#,0,29,"2,747",532,179,336
Coventry,West_Midlands,"1,288",238,70,#,0,0,#,0,#,0,#,0,#,0,0,0,#,546,76,50,16
Dudley,West_Midlands,699,63,61,#,#,#,#,0,0,0,0,0,#,0,0,0,#,253,#,19,24
Sandwell,West_Midlands,#,0,0,0,#,0,0,0,0,0,0,0,0,0,0,#,0,#,#,#,#
Walsall,West_Midlands,"1,432",279,91,56,70,0,#,0,#,#,#,0,#,#,#,0,20,581,100,38,29
Wolverhampton,West_Midlands,#,#,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#,#,#,#,#
Peterborough,East_of_England,"23,216","8,763",823,"1,771",450,357,677,"1,359","1,147",210,"1,347",318,896,#,513,#,557,"2,322",543,566,591
Cambridgeshire CC,East_of_England,"242,642","96,182","12,555","17,233","4,957","1,379","7,413","12,649","10,344","3,802","10,545","3,320","6,583",377,"7,201",83,"6,847","25,154","6,228","5,504","4,287"
Suffolk,East_of_England,"291,136","89,470","18,198","23,279","3,312","4,203","7,080","14,941","16,805","3,991","7,975","3,723","7,137",737,"8,766",123,"10,036","38,258","9,358","16,824","6,921"
Norwich and East Norfolk,East_of_England,"53,630","8,343","5,350","5,179",170,606,"2,274","4,634","2,513",694,456,"1,085","1,775",135,704,38,"1,108","12,128","1,663","3,246","1,529"
North and West Norfolk,East_of_England,"198,208","44,248","13,175","21,547","1,301","1,980","9,835","19,256","6,970","2,487","3,395","4,273","5,866",398,"6,107",292,"7,741","24,243","8,276","11,343","5,475"
Breckland and South Norfolk,East_of_England,"172,961","40,300","12,294","14,514","1,519","3,056","3,990","8,613","8,956","2,390","3,518","2,835","8,539",463,"4,699",60,"5,998","29,118","8,501","10,259","3,337"
Luton,East_of_England,130,#,0,0,#,0,0,0,0,0,#,0,0,0,0,0,#,#,0,#,#
Hertfordshire,East_of_England,"96,190","31,500","5,536","5,300","4,590",564,80,"1,270","3,898","1,812","3,734","1,246","1,156",775,253,133,"3,266","17,212","5,298","6,790","1,778"
Bedford,East_of_England,"33,915","15,110","1,474","1,979","1,004",240,#,#,"1,458",568,"2,660",293,84,185,181,#,"1,320","3,724","1,395","1,495",638
Central Bedfordshire,East_of_England,"47,966","16,509","2,190","4,045","1,715",518,175,359,940,"1,240","1,926",526,794,109,598,32,"1,790","7,871","2,210","3,279","1,141"
Southend-on-Sea,East_of_England,326,#,#,0,0,0,0,0,#,0,#,0,0,0,0,0,#,#,#,#,#
Thurrock,East_of_England,"7,084","2,720",#,440,0,#,#,0,#,#,#,#,#,#,65,0,212,"1,314",#,117,430
Essex Haven Gateway,East_of_England,"91,477","34,188","5,147","6,313","1,631","1,087","1,756","1,696","4,230","3,099","2,796","1,215","1,893",124,"1,477",439,"3,105","11,394","3,128","4,267","2,493"
West Essex,East_of_England,"74,286","32,808","4,043","5,083","2,119",#,452,713,"4,876","1,837","4,554",869,699,#,117,158,"2,343","6,154","1,910","4,407",930
Heart of Essex,East_of_England,"74,311","22,200","2,622","3,039",833,102,307,#,"3,609","1,304","2,546",799,700,"2,019",569,#,"1,265","25,895","2,604","2,214","1,323"
Essex Thames Gateway,East_of_England,"14,755","4,731",464,"1,315",#,#,#,0,683,#,813,#,#,#,26,#,667,"3,321",712,556,668
Tower Hamlets,London,#,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#
Hackney and Newham,London,#,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#,0,#,#
Bexley and Greenwich,London,127,0,0,0,0,0,0,0,0,0,0,0,0,0,#,0,0,75,#,#,7
Barking & Dagenham and Havering,London,"2,400",633,#,#,0,0,#,0,#,65,#,#,#,0,#,#,109,754,189,102,125
Redbridge and Waltham Forest,London,"1,013",#,#,#,#,0,0,0,0,0,0,0,0,0,0,0,#,337,#,#,58
Enfield,London,"1,163",#,0,#,#,0,0,#,#,#,#,0,#,0,#,0,#,402,149,16,20
Bromley,London,"3,032",568,127,#,#,#,0,#,#,26,190,0,#,#,#,0,27,"1,266",144,336,33
Croydon,London,432,#,0,#,#,0,0,0,0,0,0,0,0,0,0,0,#,219,#,101,12
"Merton, Kingston upon Thames and Sutton",London,569,#,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#,244,#,36,117
Barnet,London,491,#,0,0,0,0,0,0,0,#,0,0,#,0,0,0,#,383,#,14,7
Brent,London,#,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#,0,#,#
Ealing,London,#,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#,0,#,#
Harrow and Hillingdon,London,"1,414",#,0,0,0,#,0,0,0,0,0,0,#,0,0,0,0,978,#,62,79
Hounslow and Richmond upon Thames,London,285,#,#,0,#,0,0,0,0,#,0,0,0,0,0,0,#,140,#,#,45
Berkshire,South_East,"68,193","12,640","2,197","4,780","2,015",608,#,#,"2,425","1,558","1,791",614,"1,620",658,731,169,"1,892","18,362","4,400","10,380","1,242"
Milton Keynes,South_East,"17,583","6,286",579,909,788,#,0,0,790,140,931,#,328,#,#,#,221,"3,890",849,"1,209",361
Buckinghamshire CC,South_East,"100,483","21,495","3,203","4,986","3,001",267,#,#,"1,464","1,741","2,076",63,"2,030",408,294,8,"2,143","38,935","8,107","8,034","2,120"
Oxfordshire,South_East,"192,741","45,107","11,604","15,108","4,113","1,318",#,#,"6,981","4,425","8,935","2,405","3,911",901,638,407,"5,749","50,163","14,473","12,642","3,621"
Brighton and Hove,South_East,"3,228",#,#,#,0,0,0,0,#,#,0,#,#,0,#,#,#,"1,869",64,193,92
East Sussex CC,South_East,"101,386","9,811","1,284","3,431","1,299",61,6,#,"1,721","1,055","1,170",515,"2,096",100,980,#,"1,249","55,684","6,601","11,979","2,328"
West Surrey,South_East,"29,034","1,728",197,152,384,176,#,57,304,369,243,#,565,139,394,#,430,"15,433","1,845","5,689",853
East Surrey,South_East,"29,004","3,515",949,459,301,42,0,#,595,263,349,#,"1,331",36,161,#,492,"14,335","1,916","3,596",546
West Sussex (South West),South_East,"67,927","11,471","1,431","3,334","1,842",170,547,75,"1,190","1,240","1,134",685,"3,423",486,"2,201",13,"1,658","20,106","4,885","10,016","2,019"
West Sussex (North East),South_East,"47,780","4,185",748,828,774,112,#,#,396,513,724,#,"1,538",98,633,14,889,"24,852","4,160","6,067","1,193"
Portsmouth,South_East,#,#,0,#,0,0,0,0,0,0,0,0,0,0,0,0,#,#,0,#,#
Southampton,South_East,#,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#,0,#,#
Isle of Wight,South_East,"23,573","2,697",318,455,159,706,121,#,432,300,102,0,"2,029",#,305,#,419,"11,026","2,067","1,698",703
South Hampshire,South_East,"5,156",644,#,150,#,0,#,0,#,#,127,#,438,#,104,#,225,"2,138",137,484,397
Central Hampshire,South_East,"165,071","27,034","5,995","15,841","6,098",430,274,89,"6,745","3,443","2,890","2,030","4,137",306,"1,114",340,"3,479","56,121","9,003","16,046","3,656"
North Hampshire,South_East,"57,185","11,823","2,168","4,805","3,065",946,434,#,"1,888","1,534","1,305",275,"1,994",#,709,317,"1,698","11,911","4,117","7,309",716
Medway,South_East,"10,135","1,802",#,388,#,#,#,#,168,#,241,0,#,0,834,0,366,"3,592",239,706,"1,494"
Kent Thames Gateway,South_East,"32,168","8,674",288,"1,029",192,299,#,#,"2,325",318,972,333,623,#,"3,759",#,759,"8,382",945,"2,184",919
East Kent,South_East,"73,612","22,046","1,821","2,014","1,698",562,"1,060",#,"4,307",616,"3,817",964,"2,978",184,"3,133",#,"2,345","14,196","4,219","4,287","3,343"
Mid Kent,South_East,"61,963","15,890","1,426","1,877","1,378",136,#,64,"2,438",687,"2,987",984,"1,282",169,"3,307",#,"1,122","18,331","3,992","4,937",932
West Kent,South_East,"48,612","8,522","1,196",863,853,169,0,#,"1,406",582,"1,336",275,"1,567",105,"3,389",#,"1,163","16,252","3,241","6,779",834
"Bristol, City of",South_West,"1,063",0,0,0,0,0,0,0,0,0,0,0,0,0,#,0,0,432,#,308,316
